,DÁTUM,5,25,45,65,85,105
84,2021-01-05 00:00:00,0.0,4.7516999206466113e-07,3.581947985100529e-07,4.973854741250512e-06,3.997662904763369e-05,0.00017109403476928343
85,2021-01-04 00:00:00,0.0,0.0,7.163895970201058e-07,3.4434378977888156e-06,3.751652879854854e-05,0.00015621629261543268
86,2021-01-03 00:00:00,0.0,0.0,3.581947985100529e-07,6.121667373846783e-06,3.567145361173468e-05,0.00020828839015391023
87,2021-01-02 00:00:00,0.0,0.0,7.163895970201058e-07,6.121667373846783e-06,4.243672929671884e-05,0.0002008495190769849
88,2021-01-01 00:00:00,0.0,0.0,3.581947985100529e-07,8.034688428173903e-06,4.7356929794889145e-05,0.00023060500338468635
89,2020-12-31 00:00:00,0.0,0.0,3.581947985100529e-07,6.886875795577631e-06,3.997662904763369e-05,0.00017853290584620877
90,2020-12-30 00:00:00,0.0,0.0,0.0,6.121667373846783e-06,5.2277130293059444e-05,0.0002677993587693132
91,2020-12-29 00:00:00,0.0,0.0,1.4327791940402116e-06,8.034688428173903e-06,4.1821704234447557e-05,0.00028267710092316393
92,2020-12-28 00:00:00,0.0,0.0,7.163895970201058e-07,9.182501060770174e-06,3.997662904763369e-05,0.00017109403476928343
93,2020-12-27 00:00:00,0.0,0.0,0.0,5.3564589521159356e-06,3.628647867400597e-05,0.00017109403476928343
94,2020-12-26 00:00:00,0.0,0.0,0.0,5.7390631629813595e-06,4.120667917217627e-05,0.0002677993587693132
95,2020-12-25 00:00:00,0.0,0.0,3.581947985100529e-07,5.7390631629813595e-06,3.628647867400597e-05,0.0002157272612308356
96,2020-12-24 00:00:00,0.0,0.0,3.581947985100529e-07,8.417292639039326e-06,3.690150373627725e-05,0.00022316613230776098
97,2020-12-23 00:00:00,0.0,0.0,3.581947985100529e-07,1.1860730536828142e-05,5.9042405978043604e-05,0.00019341064800005952
98,2020-12-22 00:00:00,0.0,0.0,0.0,9.182501060770174e-06,6.580768166302777e-05,0.00036450468276934294
99,2020-12-21 00:00:00,0.0,4.7516999206466113e-07,7.163895970201058e-07,7.269480006443055e-06,7.011285709892678e-05,0.0003496269406154922
100,2020-12-20 00:00:00,0.0,0.0,7.163895970201058e-07,1.3008543169424415e-05,6.150250622712876e-05,0.00036450468276934294
101,2020-12-19 00:00:00,0.0,0.0,3.581947985100529e-07,9.947709482501023e-06,7.134290722346936e-05,0.00034218806953856685
102,2020-12-18 00:00:00,0.0,4.7516999206466113e-07,7.163895970201058e-07,1.2243334747693567e-05,6.642270672529906e-05,0.0003273103273847161
103,2020-12-17 00:00:00,0.0,0.0,7.163895970201058e-07,8.79989684990475e-06,5.2277130293059444e-05,0.0003496269406154922
104,2020-12-16 00:00:00,0.0,0.0,7.163895970201058e-07,5.3564589521159356e-06,5.6582305728958454e-05,0.0002677993587693132
105,2020-12-15 00:00:00,0.0,0.0,0.0,6.504271584712207e-06,4.366677942126142e-05,0.00014133855046158196
106,2020-12-14 00:00:00,0.0,0.0,1.0745843955301586e-06,1.0712917904231871e-05,5.9042405978043604e-05,0.00028267710092316393
107,2020-12-13 00:00:00,0.0,0.0,7.163895970201058e-07,9.947709482501023e-06,6.519265660075648e-05,0.0003496269406154922
108,2020-12-12 00:00:00,0.0,0.0,1.4327791940402116e-06,7.269480006443055e-06,5.5967280666687165e-05,0.00035706581169241754
109,2020-12-11 00:00:00,0.0,0.0,2.5073635895703703e-06,9.182501060770174e-06,6.39626064762139e-05,0.0002677993587693132
110,2020-12-10 00:00:00,0.0,4.7516999206466113e-07,7.163895970201058e-07,1.3008543169424415e-05,5.6582305728958454e-05,0.00031243258523086536
111,2020-12-09 00:00:00,0.0,0.0,7.163895970201058e-07,1.2243334747693567e-05,5.3507180417602015e-05,0.00029011597200008927
112,2020-12-08 00:00:00,0.0,0.0,7.163895970201058e-07,8.417292639039326e-06,4.489682954580399e-05,0.00029011597200008927
113,2020-12-07 00:00:00,0.0,4.7516999206466113e-07,3.581947985100529e-07,4.973854741250512e-06,3.997662904763369e-05,0.0002677993587693132
114,2020-12-06 00:00:00,0.0,4.7516999206466113e-07,1.0745843955301586e-06,9.947709482501023e-06,5.535225560441588e-05,0.00031243258523086536
115,2020-12-05 00:00:00,0.0,0.0,7.163895970201058e-07,1.3008543169424415e-05,6.765275684984164e-05,0.0003496269406154922
116,2020-12-04 00:00:00,0.0,0.0,7.163895970201058e-07,9.565105271635599e-06,6.949783203665549e-05,0.00036450468276934294
117,2020-12-03 00:00:00,0.0,0.0,1.4327791940402116e-06,8.417292639039326e-06,7.564808265936837e-05,0.0002454827455385371
118,2020-12-02 00:00:00,0.0,0.0,0.0,7.269480006443055e-06,6.765275684984164e-05,0.0002677993587693132
119,2020-12-01 00:00:00,0.0,0.0,1.4327791940402116e-06,1.0330313693366446e-05,4.9202004981703005e-05,0.0003198714563077907
120,2020-11-30 00:00:00,0.0,4.7516999206466113e-07,1.4327791940402116e-06,7.269480006443055e-06,5.535225560441588e-05,0.00027523822984623853
121,2020-11-29 00:00:00,0.0,0.0,1.4327791940402116e-06,8.417292639039326e-06,5.1047080168516866e-05,0.0003496269406154922
122,2020-11-28 00:00:00,0.0,0.0,3.581947985100529e-07,9.947709482501023e-06,6.088748116485747e-05,0.00019341064800005952
123,2020-11-27 00:00:00,0.0,0.0,1.7909739925502646e-06,7.269480006443055e-06,4.7356929794889145e-05,0.00025292161661546244
124,2020-11-26 00:00:00,0.0,0.0,3.581947985100529e-07,3.826042108654239e-06,3.997662904763369e-05,0.00029011597200008927
125,2020-11-25 00:00:00,0.0,4.7516999206466113e-07,7.163895970201058e-07,4.591250530385087e-06,4.366677942126142e-05,0.0001487774215385073
126,2020-11-24 00:00:00,0.0,0.0,3.581947985100529e-07,6.121667373846783e-06,4.612687967034657e-05,0.00018597177692313414
127,2020-11-23 00:00:00,0.0,0.0,3.581947985100529e-07,4.973854741250512e-06,3.259632830037824e-05,0.00017853290584620877
128,2020-11-22 00:00:00,0.0,0.0,1.4327791940402116e-06,6.886875795577631e-06,3.259632830037824e-05,0.0002677993587693132
129,2020-11-21 00:00:00,0.0,0.0,3.581947985100529e-07,4.973854741250512e-06,5.3507180417602015e-05,0.0001487774215385073
130,2020-11-20 00:00:00,0.0,0.0,1.0745843955301586e-06,5.3564589521159356e-06,3.874657892309112e-05,0.00011902193723080585
131,2020-11-19 00:00:00,0.0,0.0,3.581947985100529e-07,6.504271584712207e-06,3.321135336264953e-05,0.0001487774215385073
132,2020-11-18 00:00:00,0.0,0.0,3.581947985100529e-07,5.3564589521159356e-06,3.567145361173468e-05,0.00019341064800005952
133,2020-11-17 00:00:00,0.0,0.0,3.581947985100529e-07,5.7390631629813595e-06,3.259632830037824e-05,0.00016365516369235805
134,2020-11-16 00:00:00,0.0,0.0,3.581947985100529e-07,5.3564589521159356e-06,3.505642854946339e-05,0.00015621629261543268
135,2020-11-15 00:00:00,0.0,0.0,3.581947985100529e-07,7.269480006443055e-06,3.93616039853624e-05,0.00017109403476928343
136,2020-11-14 00:00:00,0.0,0.0,0.0,5.7390631629813595e-06,4.489682954580399e-05,0.00014133855046158196
137,2020-11-13 00:00:00,0.0,0.0,7.163895970201058e-07,6.886875795577631e-06,3.382637842492082e-05,0.00017853290584620877
138,2020-11-12 00:00:00,0.0,4.7516999206466113e-07,0.0,4.591250530385087e-06,3.690150373627725e-05,0.00010414419507695512
139,2020-11-11 00:00:00,0.0,0.0,1.0745843955301586e-06,2.6782294760579678e-06,3.874657892309112e-05,0.00020828839015391023
140,2020-11-10 00:00:00,0.0,0.0,3.581947985100529e-07,4.973854741250512e-06,3.813155386081983e-05,0.0002008495190769849
141,2020-11-09 00:00:00,0.0,0.0,3.581947985100529e-07,3.4434378977888156e-06,1.9065776930409914e-05,0.00010414419507695512
142,2020-11-08 00:00:00,0.0,0.0,7.163895970201058e-07,3.0608336869233917e-06,2.5831052615394077e-05,0.0002157272612308356
143,2020-11-07 00:00:00,0.0,0.0,1.0745843955301586e-06,4.973854741250512e-06,3.93616039853624e-05,0.0002008495190769849
